player_grad_year,player_rivals_rank,player_espn_rank,player_first_name,player_last_name,player_position,player_school,player_state,player_height,player_weight,player_potential_schools
2019,21,21,Andrew,Nembhard,G,Montverde Academy,FLÿ,6'2,180,List
2019,22,55,Aidan,Igiehon,F,Lawrence Woodmere Academy,NYÿ,6'8,215,List
2019,23,19,Chandler,Lawson,F,Memphis East,TNÿ,6'8,200,List
2019,24,22,Romeo,Weems,F,New Haven,MIÿ,6'5,180,List
2019,25,7,D.J.,Jeffries,F,Olive Branch,MSÿ,6'7,190,List
2019,26,33,Francis,Okoro,C,Normal Community West,ILÿ,6'9,225,List
2019,27,17,Joey,Baker,F,Trinity Christian,NCÿ,6'7,197,List
2019,28,35,Josh,Green,G,Hillcrest Academy,AZÿ,6'5,185,List
2019,29,18,Keion,Brooks,F,North Side,INÿ,6'7,180,List
2019,30,48,Kofi,Cockburn,C,Christ The King,NYÿ,6'10,250,List
2019,31,28,Patrick,McCaffery,F,West,IAÿ,6'8,180,List
2019,32,24,Jalen,Lecque,G,Christ School,NCÿ,6'2,170,List
2019,33,NA,Elias,King,F,Huntington Prep,WVÿ,6'6,180,List
2019,34,27,Wendell,Moore,F,Cox Mill,NCÿ,6'4,190,List
2019,35,42,Isaac,Okoro,F,McEachern,GAÿ,6'5,195,List
2019,36,NA,Zach,Harvey,G,Hayden,KSÿ,6'4,170,List
2019,37,39,Isaiah,Mobley,F,Rancho Verde,CAÿ,6'9,220,List
2019,38,36,Will,Baker,C,Westlake,TXÿ,6'9,220,List
2019,39,37,Isaac,Johnson,C,American Fork,UTÿ,6'10,220,List
2019,40,56,Isaiah,Stewart,F,Mcquaid Jesuit School,NYÿ,6'8,230,List
2019,41,NA,Omar,Payne,F,Osceola,FLÿ,6'9,195,List
2019,42,50,Grant,Sherfield,G,North Crowley,TXÿ,6'2,170,List
2019,43,NA,Tre,Mann,G,The Villages,FL,6'1,150,List
2019,44,47,De'Vion,Harmon,G,Guyer,TXÿ,6'2,175,List
2019,45,NA,Marcus,Watson,F,Buford,GAÿ,6'6,195,List
2019,46,26,Juwan,Gary,G,Gray Collegiate Academy,SCÿ,6'5,200,List
2019,47,NA,Bryce,Wills,G,Iona Prep,NYÿ,6'4,170,List
2019,48,NA,Carl,Lewis,C,Lynwood,CAÿ,6'9,255,List
2019,49,41,Josh,Nickelberry,G,Oak Hill Academy,VAÿ,6'4,170,List
2019,50,23,Makhi,Mitchell,C,Bishop McNamara,MDÿ,6'8,240,List
2019,51,NA,Aundre,Hyatt,G,Miller School,VAÿ,6'6,210,List
2019,52,32,Terry,Armstrong,G,Davison,MIÿ,6'5,180,List
2019,53,40,Marcedus,Leech,G,Poplar Bluff,MOÿ,6'5,170,List
2019,54,NA,Taelon,Martin,G,Putnam Voc-Tech,MAÿ,6'1,160,List
2019,55,NA,Justin,Moore,G,DeMatha,MDÿ,6'3,180,List
2019,56,31,P.J.,Fuller,G,Nathan Hale,WAÿ,6'3,165,List
2019,57,38,Jordan,Mitchell,F,Montverde Academy,FLÿ,6'6,185,List
2019,58,NA,Marvin,Price,F,Patterson High,MDÿ,6'4,210,List
2019,59,NA,Jaiden,Delaire,F,Loomis Chaffee School,CTÿ,6'8,210,List
2019,60,NA,Jalen,Wilson,F,Guyer,TXÿ,6'6,205,List
2019,61,60,Josiah,James,G,Porter Gaud School,SCÿ,6'6,190,List
2019,62,NA,Patrick,Williams,F,West Charlotte,NCÿ,6'6,185,List
2019,63,NA,Eric,Dixon,F,Abington,PAÿ,6'7,250,List
2019,64,NA,Jeremiah,Francis,G,Pickerington Central,OHÿ,6'2,196,List
2019,65,NA,Rocket,Watts,G,Old Redford Preparatory,MIÿ,6'2,160,List
2019,66,NA,Ismael,Massoud,F,Macduffie School,MAÿ,6'7,165,List
2019,67,57,Qudus,Wahab,C,Flint Hill School,VAÿ,6'10,215,List
2019,68,NA,Isaiah,Wong,G,Notre Dame,NJÿ,6'2,170,List
2019,69,NA,DJ,Burns,C,York Preparatory School,SCÿ,6'8,255,List
2019,70,NA,David,Johnson,G,Trinity,KYÿ,6'4,175,List
2019,71,NA,Roman,Wilson,C,Park Hill,MOÿ,6'9,205,List
2019,72,NA,Markese,Jacobs,G,Hillcrest Academy,AZÿ,5'11,170,Kansas
2019,73,NA,Charles,Smith IV,G,La Lumiere School,INÿ,6'4,170,List
2019,74,NA,Mario,McKinney,G,Vashon,MOÿ,6'0,165,List
2019,75,NA,Raymond,Hawkins,C,Bishop O'Dowd,CAÿ,6'9,220,List
2019,76,NA,Drew,Timme,F,Pearce,TXÿ,6'8,215,List
2019,77,51,Akok,Akok,F,Putnam Science Academy,CTÿ,6'9,200,List
2019,78,NA,Karim,Coulibaly,F,St. Vincent Pallotti,MDÿ,6'8,230,List
2019,79,NA,Jordan,Turner,F,New Home,TXÿ,6'6,180,List
2019,80,NA,Malcolm,Dandridge,F,Memphis East,TNÿ,6'7,220,List
2019,81,NA,Jaykwon,Walton,F,George W. Carver,ALÿ,6'6,175,List
2019,82,NA,Majok,Deng,F,Salpointe,AZÿ,6'5,175,List
2019,83,NA,Zimife,Nwokeji,F,Maclay,FLÿ,6'7,180,List
2019,84,59,Malik,Hall,F,Sunrise Christian Academy,KSÿ,6'5,186,List
2019,85,NA,Tyreek,Smith,F,Trinity Christian,TXÿ,6'8,205,List
2019,86,NA,Nobal,Days,F,Park High,WIÿ,6'9,200,List
2019,87,NA,Kahlil,Whitney,F,Roselle Catholic,NJÿ,6'5,170,List
2019,88,NA,Kira,Lewis,G,Hazel Green,AL,6'3,160,List
2019,89,NA,C.J.,Walker,F,Orlando Christian Prep,FLÿ,6'7,175,List
2019,90,NA,Khalif,Battle,G,Roselle Catholic,NJÿ,6'4,180,List
2019,91,NA,Jarod,Lucas,G,Los Altos,CAÿ,6'2,180,List
2019,92,NA,Anthony,Harris,G,Paul VI,VAÿ,6'2,175,List
2019,93,NA,E.J.,Liddell,F,Belleville West,ILÿ,6'7,220,List
2019,94,NA,Jaelen,House,G,Shadow Mountain,AZÿ,5'11,160,List
2019,95,NA,Tre,Williams,G,The Colony,TXÿ,6'4,180,List
2019,96,NA,Jaime,Jaquez,F,Camarillo,CAÿ,6'5,185,List
2019,97,NA,Kobe,Brown,F,Lee,ALÿ,6'6,225,List
2019,98,NA,Maxwell,Lorca-Lloyd,F,Mt. Hermon,MAÿ,6'8,200,List
2019,99,52,Avery,Anderson,G,Northwest,TXÿ,6'2,170,List
2019,100,NA,Deuce,Dean,G,Dutch Fork,SCÿ,6'4,180,List
2019,101,NA,Trayce,Jackson-Davis,F,Center Grove,INÿ,6'9,210,List
2019,102,NA,Daniel,Ramsey,F,Deerfield Windsor School,GAÿ,6'8,220,List
2019,103,NA,Xzavier,Jones,G,Martin Luther,WIÿ,6'3,175,List
2019,104,NA,Gianni,Hunt,G,Bishop Montgomery,CAÿ,6'1,0,List
2019,105,NA,Antavion,Collum,F,Memphis East,TNÿ,6'7,190,List
2019,106,NA,Jaylin,Williams,F,Brantley County,GAÿ,6'7,200,List
2019,107,NA,Donta,Scott,F,Imhotep Inst Charter School,PA,6'7,195,List
2019,108,NA,Oscar,Tshebwe,C,Mountain Mission School,VAÿ,6'8,230,List
2019,109,49,Sherif,Kenney,G,Clinton Christian,MDÿ,6'4,212,List
2019,110,NA,Makhel,Mitchell,C,Bishop McNamara,MDÿ,6'9,250,List
2019,111,NA,Al-Amir,Dawes,G,St. Patrick,NJÿ,6'1,170,List
2019,112,NA,Alonzo,Gaffney,F,Garfield Heights,OHÿ,6'7,175,List
